"
喜欢就是淡淡滴爱
","


女神跟我说：“我想谈恋爱了，你有喜欢的人没有。”“有，她正在跟我聊天。”“哦。。。。。。那你们聊我先下了。”

"
"
狐小乔
","


妈妈在看电视，熊孩子一边写作业一边偷着看电视。电视中主持人嘱咐家长：六一儿童节过了，马上放暑假了，孩子一定管好，不要独自到河边玩，每年暑假都有小孩溺水。妈妈说：你看够了吗？记住主持人姐姐的话了吗？孩子：记住了，马上放暑假啦！

"
"
王八与蛋
","


高中同学会，临走时，匆忙跟同桌合了个影，结果上车翻看时，发现拍照的人手抖，整个画面都模糊了。想着十几年没见，下次再聚不知何时。于是追上了同桌，没等我说明来意，她就飞扑到了我怀里……

"
"
哼着小曲瞎溜达
","


我去年在河边钓夜钓，中了一条鱼，感觉可能有几百斤，遛了一夜，直到天亮才知道，钩子挂在了一起，对面的哥们跟我一样遛了一宿没睡 [看]

"
"
喂鱼抽喵
","


老同学和一个全家信佛的女孩谈恋爱，一天，女孩领他去见父母，女孩的妈妈对他说:“你俩在一起可以，但是前提是你必须要信佛”男孩同意了，过了一段时间妈妈问女孩:“你俩处到哪一步了?女孩说:“黄了!”妈妈问:“怎么黄了呢?'”女孩气愤地说:“信TM鬼的佛，这个傻逼信大发了他出家当和尚去了！

"
"
正版煮茶
","


我哥们找我喝酒，喝高了酒后吐真言：我今天为什么出来找你喝酒，因为我那啥...绿了！我：你知道的太晚了，我早就提醒你别让嫂子去健身，她跟那健身教练…我哥们：我说我健康 码绿了，才敢出来找你喝酒，刚刚你叭叭啥？

"
"
夏有凉风秋望月
","


我和闺蜜视频聊天，闺蜜正在给刚出生了宝宝换尿不湿，我说我发现宝宝串出来的稀，跟拉出来的成坨的那种，闻起来不是一个味道。闺蜜头不抬眼不挣悠悠的说，吃起来味道也不一样啊！不信，你尝尝？尼玛，我这吃在嘴里的榴莲，瞬间感觉变了味道。

"
"
天热打鼓球
","


初二上课时，突然肚子疼，于是打了报告去厕所。想起学生那边的蹲坑脏乱差，我溜进了隔壁的教师专厕。刚蹲下，门口光线一暗，进来一个人，抬头一看是班主任。班主任也看了我一眼，故作矜持的没有说话，挨着我蹲了下来（就两个坑位）。雨一直下，当时气氛有点尴尬，我打破沉默，讨好的问：x老师，您也来上厕所呢？班主任没好气的说：别说话，你上课不专心，拉个屎也不专心啊，都崩我鞋上了！

"
"
鱼小小好漂亮
","


表妹是一个非常活泼好动开朗的女孩，但是呢，她每次看到我们邻居家的小帅哥，就容易紧张地语无伦次起来。作为过来人的我，自然明白她的心思。于是我就怂恿她快去表白，然后转身把茶几上的月季花塞到了她的手里。。。表妹当时紧张地汗都出来了，不过她最终还是鼓起勇气敲开邻居小帅哥他们家的门。然后高举月季花，大声地对小帅哥说，“您好，您……您可以做我大爷吗？”

"
"
你胸大了不起吗
","


我和我姐是龙凤胎，她比我早出生半个小时，从小就特别懒！有多懒呢，最疼我们的外婆病了，在床上躺了2个月，她去照顾。没想到，没几天外婆就好了，起窗、做饭、洗衣服很麻利，大家都纷纷夸我姐照顾的好。后来，邻居问外婆：你孙女是怎么照顾你的？外婆长叹一口气无奈的说：我再不起来，就怕她会饿死！

"
"
上凹下凸
","


表弟把爷爷的鸟放生了，爷爷把他揍了一顿，表弟在院子里哭，他爹回来以为是哪个小孩欺负儿子，顿时火气骂道:打狗还得看主人！说，说打你！爷爷拿着棒子出来:狗主人来了！

"
"
天然呆。oO
","


最近，宝系列的土味情话特别火，闲着没事逗老公:“宝，我今天拉稀了”老公:“这是吃啥了？快快，赶紧吃点诺氟沙星”我:“你应该问我拉的什么稀”老公:“那你拉的什么稀？”我:“拉的你最爱喝的安慕希”老公。。。

"
"
上凹下凸
","


校长到小学二年级视察，问其中一个小学生:你的梦想是什么？孩子腼腆的笑了笑:我要赚很多钱，然后买块地给你……校长欣慰的点点头:尊师重道，不错！孩子接着说:上面立块碑……

"
"
上凹下凸
","


同事请我们去家里吃饭……其中一个火爆肥肠，味道很好大家赞不绝口，一个哥们问:肥肠太难处理了，洗起来特别麻烦，对了，你是怎么弄的？同事一脸懵圈的说:肥肠还需要洗吗？……

"
"
吃了两碗又盛
","


同办公室的女同事生了，因为平时互动比较多，所以我带着媳妇赶去她家下奶(随份子)。孩子很可爱，跟我有眼缘。我知道女同事的老公跟我同姓，就高情商地夸奖说:这孩子长得带劲，像我们老李家的人。我准备这一句话夸我们三个人，可是说完了有三个人用奇怪的眼神看我？

"
"
上凹下凸
","


朋友买了一只猫，今天突然激动的说：我家的猫告诉我它是芜湖的!我奇怪问：猫怎么会说话？!朋友说：我问过它是哪里的，它总是回答“呜呼”!

"
"
老毛的酒
","


你要是说实话，我就不打你了。这句话是不是让你回忆起美好的童年[呲牙]

"
"
带翅膀的老司机
","


在街上遇到上高中的表弟，和小女生手拉手，甚是恩爱，看到我表弟有些局促“哥，你千万别告诉我妈！”我笑着说“放心吧，肯定不说，你别怕啊！”表弟“不是，我不怕，就是你想啊，我妈知道了，那你妈不也就知道了，到时候肯定又埋怨你，这么大了还没对象，我怕你难堪！”卧槽。。。。

"
