学号,专业,生源所在地,性别,学位性质,民族,政治面貌,出入日期,年级,分数1,分数2,分数3
73,法学,云南省,女,本科,汉族,共青团员,19870131 ,2005,64,83,93
74,法学,天津市,女,本科,汉族,共青团员,19860818 ,2005,77,91,90
75,法学,广东省,女,本科,汉族,共青团员,19860313 ,2005,94,68,81
76,法学,福建省,女,本科,汉族,共青团员,19861215 ,2005,52,69,92
77,法学,江苏省,女,本科,汉族,共青团员,19880205 ,2005,57,79,76
78,法学,广东省,女,本科,汉族,共青团员,19860306 ,2005,54,73,86
79,法学,云南省,女,本科,苗族,共青团员,19860502 ,2005,89,58,83
80,法学,海南省,女,本科,汉族,共青团员,19871226 ,2005,74,66,68
81,法学,北京市,女,本科,锡伯族,共青团员,19861106 ,2005,55,70,77
82,法学,陕西省,女,本科,汉族,共青团员,19870829 ,2005,89,93,84
83,法学,内蒙古自治区,女,本科,汉族,共青团员,19870209 ,2005,51,70,94
84,法学,黑龙江省,女,本科,汉族,共青团员,19860412 ,2005,53,85,92
85,法学,北京市,女,本科,汉族,共青团员,19860826 ,2005,54,65,91
86,法学,吉林省,女,本科,汉族,共青团员,19860415 ,2005,70,73,70
87,法学,江苏省,男,本科,汉族,共青团员,19861122 ,2005,92,60,70
88,法学,湖北省,男,本科,汉族,共青团员,19850507 ,2005,79,70,77
89,法学,山东省,男,本科,汉族,共青团员,19861105 ,2005,88,80,82
90,法学,河南省,男,本科,回族,共青团员,19840501 ,2005,81,94,84
91,法学,云南省,男,本科,摩梭族,共青团员,,2005,51,69,86
92,法学,广西壮族自治区,男,本科,汉族,共青团员,19860602 ,2005,95,92,92
93,法学,云南省,男,本科,汉族,共青团员,19861217 ,2005,79,72,77
94,法学,河南省,男,本科,汉族,共青团员,19880627 ,2005,69,59,74
95,法学,辽宁省,男,本科,汉族,共青团员,19860425 ,2005,66,85,77
96,法学,重庆市,男,本科,汉族,共青团员,19861007 ,2005,65,68,67
97,法学,福建省,男,本科,汉族,共青团员,19871202 ,2005,66,57,77
98,法学,北京市,男,本科,汉族,共青团员,19870406 ,2005,77,88,90
99,法学,陕西省,男,本科,汉族,共青团员,19870712 ,2005,77,63,67
100,法学,四川省,男,本科,汉族,共青团员,19880104 ,2005,74,61,70
101,法学,山东省,男,本科,汉族,共青团员,19860310 ,2005,93,95,93
102,法学,河北省,男,本科,满族,共青团员,19860422 ,2005,57,80,86
103,法学,吉林省,男,本科,汉族,共青团员,19860302 ,2005,63,87,89
104,法学,湖南省,男,本科,汉族,共青团员,19870125 ,2005,79,77,66
105,法学,北京市,男,本科,汉族,共青团员,19861219 ,2005,60,61,86
106,法学,西藏自治区,女,本科,藏族,共青团员,,2005,98,95,65
107,法学,广东省,女,本科,汉族,共青团员,19860517 ,2005,94,74,79
108,法学,北京市,女,本科,汉族,共青团员,19870319 ,2005,89,67,81
109,法学,广东省,女,本科,汉族,中共党员,19851023 ,2005,73,55,73
110,法学,北京市,女,本科,汉族,共青团员,19870630 ,2005,58,58,88
111,法学,湖北省,女,本科,汉族,共青团员,19860127 ,2005,52,84,69
112,法学,吉林省,女,本科,朝鲜族,共青团员,19860626 ,2005,60,89,93
113,法学,内蒙古自治区,女,本科,达斡尔族,共青团员,19880624 ,2005,59,87,67
114,法学,吉林省,女,本科,汉族,共青团员,19860117 ,2005,92,73,75
115,法学,辽宁省,女,本科,汉族,共青团员,19860522 ,2005,67,65,81
116,法学,云南省,女,本科,彝族,共青团员,19860524 ,2005,55,73,91
117,法学,四川省,女,本科,汉族,共青团员,19880206 ,2005,51,60,93
118,法学,甘肃省,女,本科,东乡族,共青团员,19870115 ,2005,79,73,93
119,法学,山东省,女,本科,汉族,共青团员,19880612 ,2005,88,89,85
120,法学,福建省,女,本科,汉族,共青团员,19861226 ,2005,72,56,89
121,法学,北京市,女,本科,汉族,共青团员,19870817 ,2005,63,82,85
122,法学,河南省,女,本科,汉族,中共党员,19851010 ,2005,96,81,70
123,法学,浙江省,女,本科,汉族,共青团员,19870225 ,2005,70,84,82
124,法学,黑龙江省,女,本科,汉族,共青团员,19861017 ,2005,74,94,68
125,法学,四川省,女,本科,羌族,共青团员,19860131 ,2005,87,62,83
126,法学,江苏省,女,本科,汉族,共青团员,19880822 ,2005,77,56,72
127,法学,陕西省,女,本科,汉族,共青团员,19870519 ,2005,73,69,74
128,法学,云南省,女,本科,汉族,共青团员,19870729 ,2005,73,84,70
129,法学,福建省,男,本科,汉族,中共党员,19861115 ,2005,55,82,68
130,法学,辽宁省,男,本科,汉族,共青团员,19860503 ,2005,64,81,76
131,法学,湖北省,男,本科,汉族,共青团员,19841205 ,2005,60,69,70
132,法学,山西省,男,本科,回族,共青团员,19860125 ,2005,51,79,75
133,法学,江苏省,男,本科,汉族,共青团员,19870331 ,2005,61,56,80
134,法学,四川省,男,本科,汉族,共青团员,19851220 ,2005,74,63,85
135,法学,北京市,男,本科,汉族,共青团员,19870326 ,2005,91,83,85
136,法学,湖南省,男,本科,汉族,共青团员,19851207 ,2005,72,86,89
137,法学,陕西省,男,本科,汉族,共青团员,19850707 ,2005,80,57,94
138,法学,河南省,男,本科,汉族,共青团员,19861018 ,2005,62,64,86
139,法学,安徽省,男,本科,汉族,共青团员,19870310 ,2005,90,84,84
140,法学,重庆市,男,本科,汉族,共青团员,19860622 ,2005,93,59,95
141,法学,北京市,男,本科,汉族,共青团员,19870228 ,2005,75,73,92
142,法学,山西省,男,本科,汉族,共青团员,19861206 ,2005,56,56,77
143,法学,广西壮族自治区,男,本科,壮族,共青团员,19840525 ,2005,97,72,69
144,法学,吉林省,男,本科,汉族,共青团员,19880423 ,2005,67,56,81
145,法学,云南省,男,本科,拉祜族,共青团员,19860225 ,2005,88,82,81
146,法学,山东省,男,本科,汉族,共青团员,19871013 ,2005,73,76,75
147,法学,河北省,男,本科,汉族,共青团员,19840917 ,2005,91,83,73
148,法学,河北省,女,本科,汉族,共青团员,19860415 ,2005,94,57,87
149,法学,宁夏回族自治区,女,本科,汉族,共青团员,19870124 ,2005,61,71,79
150,法学,西藏自治区,女,本科,藏族,共青团员,,2005,57,81,88
151,法学,北京市,女,本科,汉族,共青团员,19870424 ,2005,70,78,66
152,法学,山东省,女,本科,汉族,共青团员,19870621 ,2005,78,78,74
153,法学,陕西省,女,本科,汉族,共青团员,19880508 ,2005,61,66,67
154,法学,吉林省,女,本科,朝鲜族,共青团员,19860115 ,2005,67,74,82
155,法学,吉林省,女,本科,汉族,共青团员,19860307 ,2005,81,86,74
156,法学,云南省,女,本科,彝族,共青团员,19860930 ,2005,62,59,94
157,法学,辽宁省,女,本科,汉族,共青团员,19860324 ,2005,67,72,78
158,法学,四川省,女,本科,汉族,共青团员,19870319 ,2005,58,79,83
159,法学,浙江省,女,本科,汉族,共青团员,19860929 ,2005,73,90,83
160,法学,四川省,女,本科,蒙古族,共青团员,19870309 ,2005,63,92,86
161,法学,甘肃省,女,本科,土族,共青团员,19850905 ,2005,57,82,85
162,法学,黑龙江省,女,本科,蒙古族,共青团员,19870110 ,2005,72,76,85
163,法学,湖南省,女,本科,苗族,共青团员,19871004 ,2005,74,75,87
164,法学,北京市,女,本科,汉族,共青团员,19880426 ,2005,59,80,68
165,法学,甘肃省,女,本科,藏族,共青团员,19870812 ,2005,68,56,90
166,法学,浙江省,女,本科,汉族,共青团员,19851210 ,2005,75,86,89
167,法学,广东省,女,本科,汉族,共青团员,19860807 ,2005,78,57,65
168,法学,江西省,女,本科,汉族,共青团员,19880812 ,2005,53,92,87
169,法学,河南省,女,本科,汉族,共青团员,19870812 ,2005,72,71,93
170,法学,北京市,女,本科,汉族,共青团员,19860910 ,2005,79,83,88
171,法学,山东省,男,本科,汉族,共青团员,19870422 ,2005,60,66,68
172,法学,辽宁省,男,本科,汉族,共青团员,19850108 ,2005,69,77,82
173,法学,河南省,男,本科,汉族,共青团员,19860118 ,2005,82,90,73
174,法学,安徽省,男,本科,汉族,共青团员,19880421 ,2005,63,87,82
175,法学,四川省,男,本科,回族,共青团员,19861204 ,2005,81,69,84
176,法学,山西省,男,本科,汉族,共青团员,19860123 ,2005,60,65,70
177,法学,重庆市,男,本科,汉族,共青团员,19860823 ,2005,61,87,73
178,法学,福建省,男,本科,汉族,共青团员,19851118 ,2005,63,73,87
179,法学,河北省,男,本科,汉族,共青团员,19861225 ,2005,56,62,79
180,法学,北京市,男,本科,汉族,共青团员,19871227 ,2005,94,68,78
181,法学,湖南省,男,本科,汉族,共青团员,19880327 ,2005,69,75,93
182,法学,江西省,男,本科,汉族,共青团员,19880920 ,2005,82,57,88
183,法学,江苏省,男,本科,汉族,共青团员,19870419 ,2005,51,66,80
184,法学,湖北省,男,本科,汉族,共青团员,19871029 ,2005,96,62,65
185,法学,陕西省,男,本科,汉族,共青团员,19840628 ,2005,74,59,72
186,法学,天津市,男,本科,汉族,共青团员,19870217 ,2005,56,65,77
187,法学,云南省,男,本科,汉族,共青团员,19860811 ,2005,78,93,87
188,法学,广西壮族自治区,男,本科,汉族,共青团员,19860507 ,2005,60,61,80
189,法学,北京市,女,本科,汉族,共青团员,19860524 ,2005,60,67,72
190,法学,山东省,女,本科,汉族,共青团员,19861023 ,2005,71,82,89
191,法学,河北省,女,本科,汉族,共青团员,19861008 ,2005,82,65,69
192,法学,黑龙江省,女,本科,汉族,共青团员,19871022 ,2005,51,69,82
193,法学,江西省,女,本科,汉族,共青团员,19870814 ,2005,83,93,74
194,法学,新疆维吾尔自治区,女,本科,汉族,共青团员,19860607 ,2005,80,79,91
195,法学,广东省,女,本科,汉族,共青团员,19860709 ,2005,59,83,92
196,法学,河南省,女,本科,汉族,共青团员,19861208 ,2005,75,66,73
197,法学,辽宁省,女,本科,汉族,共青团员,19880909 ,2005,82,79,89
198,法学,甘肃省,女,本科,回族,共青团员,19860605 ,2005,76,74,91
199,法学,云南省,女,本科,哈尼族,共青团员,19850519 ,2005,79,75,66
200,法学,浙江省,女,本科,汉族,共青团员,19880719 ,2005,56,59,87
201,法学,浙江省,女,本科,汉族,中共预备党员,19860823 ,2005,88,87,66
202,法学,北京市,女,本科,汉族,共青团员,19870920 ,2005,79,71,80
203,法学,四川省,女,本科,回族,共青团员,19861017 ,2005,94,72,77
204,法学,陕西省,女,本科,汉族,共青团员,19860926 ,2005,80,56,71
205,法学,宁夏回族自治区,女,本科,满族,共青团员,19861109 ,2005,66,78,79
206,法学,吉林省,女,本科,汉族,共青团员,19870307 ,2005,97,72,78
207,法学,江苏省,女,本科,汉族,共青团员,19861112 ,2005,74,65,89
208,法学,天津市,女,本科,汉族,共青团员,19871020 ,2005,70,83,79
209,法学,甘肃省,女,本科,藏族,共青团员,19860525 ,2005,62,93,78
210,法学,湖南省,女,本科,土家族,共青团员,19871227 ,2005,68,70,87
211,法学,黑龙江省,男,本科,汉族,共青团员,19830423 ,2005,79,57,86
212,法学,河北省,男,本科,汉族,共青团员,19841220 ,2005,69,77,77
213,法学,山西省,男,本科,汉族,中共预备党员,19860727 ,2005,87,56,93
214,法学,湖北省,男,本科,土家族,共青团员,19861110 ,2005,70,67,87
215,法学,江苏省,男,本科,汉族,共青团员,19880821 ,2005,52,78,91
216,法学,重庆市,男,本科,汉族,共青团员,19861102 ,2005,75,87,67
217,法学,甘肃省,男,本科,汉族,共青团员,19861205 ,2005,52,64,69
218,法学,四川省,男,本科,回族,共青团员,19850218 ,2005,62,81,81
219,法学,内蒙古自治区,男,本科,汉族,共青团员,19870830 ,2005,79,63,89
220,法学,安徽省,男,本科,汉族,共青团员,19870926 ,2005,80,75,70
221,法学,上海市,男,本科,汉族,共青团员,19870908 ,2005,72,93,81
222,法学,湖南省,男,本科,汉族,共青团员,19860911 ,2005,66,65,69
223,法学,北京市,男,本科,汉族,共青团员,19870120 ,2005,78,95,68
224,法学,天津市,男,本科,汉族,共青团员,19850722 ,2005,60,63,76
225,法学,江西省,男,本科,汉族,共青团员,19870718 ,2005,73,58,87
226,法学,山东省,男,本科,汉族,共青团员,19870607 ,2005,60,87,79
227,法学,贵州省,男,本科,汉族,共青团员,19860124 ,2005,84,69,94
228,法学,浙江省,男,本科,汉族,共青团员,19861016 ,2005,54,80,82
229,法学,北京市,男,本科,汉族,共青团员,19860915 ,2005,71,64,84
230,法学,浙江省,女,本科,汉族,共青团员,19860712 ,2005,72,62,94
231,法学,河南省,女,本科,汉族,共青团员,19871026 ,2005,84,70,70
232,法学,北京市,女,本科,汉族,共青团员,19861012 ,2005,50,70,79
233,法学,北京市,女,本科,汉族,共青团员,19861002 ,2005,91,64,77
234,法学,江苏省,女,本科,汉族,共青团员,19860603 ,2005,85,72,92
235,法学,广东省,女,本科,汉族,群众,19861227 ,2005,74,89,68
236,法学,宁夏回族自治区,女,本科,汉族,共青团员,19871209 ,2005,82,71,69
237,法学,北京市,女,本科,回族,共青团员,19861222 ,2005,90,68,86
238,法学,山东省,女,本科,汉族,共青团员,19871007 ,2005,86,66,75
239,法学,甘肃省,女,本科,东乡族,共青团员,19860715 ,2005,62,61,92
240,法学,辽宁省,女,本科,汉族,共青团员,19870221 ,2005,55,70,77
241,法学,四川省,女,本科,羌族,共青团员,19860411 ,2005,72,68,91
242,法学,吉林省,女,本科,汉族,共青团员,19871004 ,2005,57,67,94
243,法学,天津市,女,本科,汉族,共青团员,19870520 ,2005,82,63,71
244,法学,湖南省,女,本科,汉族,共青团员,19870730 ,2005,80,86,75
245,法学,新疆维吾尔自治区,女,本科,汉族,共青团员,,2005,79,89,81
246,法学,江西省,女,本科,汉族,共青团员,19871223 ,2005,91,78,76
247,法学,河北省,女,本科,满族,共青团员,19870124 ,2005,68,71,86
248,法学,陕西省,女,本科,汉族,共青团员,19861105 ,2005,59,57,80
249,法学,湖北省,女,本科,汉族,共青团员,19870127 ,2005,64,62,78
250,法学,云南省,女,本科,纳西族,共青团员,19851009 ,2005,79,88,83
251,法学,浙江省,女,本科,汉族,共青团员,19861203 ,2005,74,66,71
252,法学,河南省,女,本科,回族,共青团员,19870115 ,2005,57,79,75
253,法学,山西省,男,本科,汉族,共青团员,19860823 ,2005,75,83,79
254,法学,江苏省,男,本科,汉族,共青团员,19870417 ,2005,84,89,79
255,法学,福建省,男,本科,汉族,共青团员,19870512 ,2005,91,89,93
256,法学,安徽省,男,本科,汉族,共青团员,19871010 ,2005,60,73,69
257,法学,河南省,男,本科,汉族,共青团员,19830928 ,2005,94,58,78
258,法学,西藏自治区,男,本科,藏族,共青团员,,2005,95,71,66
259,法学,黑龙江省,男,本科,汉族,共青团员,19860621 ,2005,67,88,81
260,法学,四川省,男,本科,汉族,共青团员,19850913 ,2005,53,60,91
261,法学,江西省,男,本科,汉族,共青团员,19870119 ,2005,95,87,85
262,法学,湖南省,男,本科,汉族,共青团员,19870213 ,2005,84,67,86
263,法学,内蒙古自治区,男,本科,汉族,共青团员,19871022 ,2005,65,67,72
264,法学,贵州省,男,本科,侗族,共青团员,19860607 ,2005,87,74,91
265,法学,浙江省,男,本科,汉族,共青团员,19861120 ,2005,92,78,74
266,法学,甘肃省,男,本科,汉族,共青团员,19850202 ,2005,60,72,73
267,法学,山东省,男,本科,汉族,共青团员,19851016 ,2005,81,86,68
268,法学,北京市,男,本科,壮族,共青团员,19870129 ,2005,92,82,88
269,法学,安徽省,男,本科,汉族,共青团员,19880128 ,2005,69,85,90
270,法学,湖南省,男,本科,土家族,共青团员,19871206 ,2005,83,64,65
271,法学,河北省,女,本科,汉族,共青团员,19860620 ,2005,59,57,81
272,法学,广西壮族自治区,女,本科,壮族,共青团员,19850716 ,2005,72,88,93
273,法学,江苏省,女,本科,汉族,共青团员,19870107 ,2005,78,84,89
274,法学,广西壮族自治区,女,本科,侗族,共青团员,19860512 ,2005,51,71,91
275,法学,北京市,女,本科,汉族,共青团员,19870222 ,2005,70,80,79
276,法学,福建省,女,本科,汉族,共青团员,19851224 ,2005,55,93,74
277,法学,浙江省,女,本科,汉族,共青团员,19871021 ,2005,73,94,88
278,法学,安徽省,女,本科,汉族,共青团员,19851030 ,2005,96,90,92
279,法学,天津市,女,本科,汉族,共青团员,19870121 ,2005,77,66,67
280,法学,广东省,女,本科,汉族,共青团员,19860808 ,2005,65,94,75
281,法学,北京市,女,本科,汉族,共青团员,19861018 ,2005,79,75,72
282,法学,青海省,女,本科,汉族,共青团员,19861118 ,2005,72,84,93
283,法学,山东省,女,本科,汉族,共青团员,19871129 ,2005,74,65,82
284,法学,江西省,女,本科,汉族,共青团员,19870526 ,2005,63,83,82
285,法学,新疆维吾尔自治区,女,本科,回族,共青团员,19850608 ,2005,62,57,71
286,法学,湖北省,女,本科,汉族,共青团员,19860210 ,2005,60,81,93
287,法学,吉林省,女,本科,汉族,共青团员,19850819 ,2005,52,79,67
288,法学,重庆市,女,本科,汉族,共青团员,19861126 ,2005,58,77,92
289,法学,甘肃省,女,本科,汉族,共青团员,19870924 ,2005,91,77,67
290,法学,四川省,女,本科,汉族,中共预备党员,19860306 ,2005,82,91,92
291,法学,北京市,女,本科,汉族,共青团员,19860902 ,2005,74,80,81
292,法学,湖南省,女,本科,汉族,共青团员,19870504 ,2005,87,79,72
293,法学,黑龙江省,女,本科,汉族,共青团员,19860624 ,2005,93,62,77
294,法学,辽宁省,女,本科,汉族,共青团员,19880711 ,2005,91,88,73
295,法学,浙江省,男,本科,汉族,共青团员,19860208 ,2005,53,86,88
296,法学,江苏省,男,本科,汉族,共青团员,19861025 ,2005,53,61,90
297,法学,黑龙江省,男,本科,汉族,共青团员,19860914 ,2005,81,61,69
298,法学,广东省,男,本科,汉族,共青团员,19860704 ,2005,81,89,79
299,法学,湖南省,男,本科,汉族,共青团员,19861102 ,2005,80,90,79
300,法学,山西省,男,本科,汉族,共青团员,19890111 ,2005,66,75,92
301,法学,福建省,男,本科,汉族,共青团员,19870513 ,2005,74,71,71
302,法学,吉林省,男,本科,汉族,共青团员,19880203 ,2005,72,91,78
303,法学,四川省,男,本科,汉族,共青团员,19860108 ,2005,72,60,73
304,法学,新疆维吾尔自治区,男,本科,汉族,共青团员,19881211 ,2005,60,72,65
305,法学,北京市,男,本科,汉族,共青团员,19870529 ,2005,79,69,75
306,法学,宁夏回族自治区,男,本科,汉族,共青团员,19860215 ,2005,71,81,93
307,法学,安徽省,男,本科,汉族,共青团员,19870202 ,2005,64,77,87
308,法学,江西省,男,本科,汉族,共青团员,19870325 ,2005,80,74,68
309,法学,山东省,男,本科,汉族,共青团员,19880824 ,2005,94,58,90
310,法学,海南省,男,本科,汉族,共青团员,19881102 ,2005,93,75,91
311,法学,河南省,男,本科,汉族,共青团员,19860412 ,2005,72,56,66
312,法学,安徽省,男,本科,汉族,共青团员,19870315 ,2005,56,76,78
313,法学,河北省,女,本科,汉族,共青团员,19860103 ,2005,90,88,79
314,法学,广西壮族自治区,女,本科,仫佬族,共青团员,19870601 ,2005,80,67,80
315,法学,山西省,女,本科,汉族,共青团员,19850327 ,2005,60,93,76
316,法学,新疆维吾尔自治区,女,本科,汉族,共青团员,19870904 ,2005,78,62,70
317,法学,广东省,女,本科,汉族,共青团员,19860929 ,2005,90,59,78
318,法学,福建省,女,本科,汉族,共青团员,19870226 ,2005,90,74,77
319,法学,重庆市,女,本科,汉族,共青团员,19870211 ,2005,61,67,73
320,法学,甘肃省,女,本科,汉族,共青团员,19870217 ,2005,51,80,69
321,法学,天津市,女,本科,汉族,共青团员,19860530 ,2005,60,67,71
322,法学,江苏省,女,本科,汉族,共青团员,19870101 ,2005,87,65,90
323,法学,湖北省,女,本科,汉族,共青团员,19870723 ,2005,51,59,81
324,法学,黑龙江省,女,本科,汉族,共青团员,19870110 ,2005,77,63,93
325,法学,浙江省,女,本科,汉族,共青团员,19870416 ,2005,53,65,89
326,法学,广西壮族自治区,女,本科,瑶族,中共预备党员,19850712 ,2005,77,73,87
327,法学,辽宁省,女,本科,汉族,共青团员,19851005 ,2005,84,79,65
328,法学,北京市,女,本科,汉族,共青团员,19870420 ,2005,96,69,69
329,法学,北京市,女,本科,汉族,共青团员,19860824 ,2005,51,78,94
330,法学,北京市,女,本科,汉族,共青团员,19870404 ,2005,74,78,80
331,法学,青海省,女,本科,汉族,共青团员,19870405 ,2005,74,67,75
332,法学,安徽省,女,本科,汉族,共青团员,19861130 ,2005,63,61,73
333,法学,四川省,女,本科,汉族,共青团员,19870816 ,2005,56,89,92
334,法学,湖南省,女,本科,汉族,共青团员,19870306 ,2005,77,67,88
335,法学,辽宁省,女,本科,满族,中共预备党员,19870801 ,2005,53,65,75
336,法学,吉林省,女,本科,满族,共青团员,19860520 ,2005,68,79,72
337,法学,浙江省,男,本科,汉族,共青团员,19860315 ,2005,58,69,76
338,法学,吉林省,男,本科,汉族,共青团员,19860727 ,2005,65,84,84
339,法学,陕西省,男,本科,汉族,共青团员,19870519 ,2005,88,83,74
340,法学,新疆维吾尔自治区,男,本科,汉族,共青团员,19860408 ,2005,63,78,84
341,法学,江西省,男,本科,汉族,共青团员,19870419 ,2005,80,62,88
342,法学,广东省,男,本科,汉族,共青团员,19870421 ,2005,87,93,82
343,法学,山东省,男,本科,汉族,共青团员,19861031 ,2005,59,90,93
344,法学,北京市,男,本科,汉族,共青团员,19860119 ,2005,90,65,79
345,法学,黑龙江省,男,本科,汉族,共青团员,19861108 ,2005,94,68,71
346,法学,湖南省,男,本科,汉族,共青团员,19870526 ,2005,93,57,86
347,法学,河南省,男,本科,汉族,共青团员,19871213 ,2005,71,82,80
348,法学,宁夏回族自治区,男,本科,汉族,群众,19860911 ,2005,88,89,76
349,法学,四川省,男,本科,汉族,共青团员,19840406 ,2005,79,77,77
350,法学,江苏省,男,本科,汉族,共青团员,19870623 ,2005,71,79,68
351,法学,福建省,男,本科,汉族,共青团员,19870616 ,2005,94,62,89
352,法学,安徽省,男,本科,汉族,共青团员,19871208 ,2005,78,64,93
353,法学,北京市,男,本科,汉族,共青团员,19841006 ,2005,73,64,72
354,法学,河北省,男,本科,汉族,中共预备党员,19850324 ,2005,76,76,81
355,法学,广西壮族自治区,女,本科,汉族,共青团员,19870219 ,2005,71,91,76
356,法学,吉林省,女,本科,汉族,共青团员,19860830 ,2005,86,84,95
